#r   U_mean  k   eps
187
2.1434724534597560E-01   1.2221868251075823E+00   6.5889251551592603E-03   3.8938789397078462E-03
2.2043735593387404E-01   1.2177018117395497E+00   6.7384958554808499E-03   4.0249968726987252E-03
2.2639816906837684E-01   1.2132207118858518E+00   6.8886861476263805E-03   4.1622279850939215E-03
2.3223244161981271E-01   1.2087483530379288E+00   7.0391683143731006E-03   4.3004653274089687E-03
2.3794287193361296E-01   1.2042890919928455E+00   7.1898372391799850E-03   4.4424037567299202E-03
2.4353210107829282E-01   1.1998463781431965E+00   7.3404101051426232E-03   4.5847321815218950E-03
2.4900271406694408E-01   1.1954236204705448E+00   7.4906955782824839E-03   4.7269512994048890E-03
2.5435724105280066E-01   1.1910234918163738E+00   7.6405162505897460E-03   4.8740104877866945E-03
2.5959815849943185E-01   1.1866478194480223E+00   7.7898589697496983E-03   5.0269340406293214E-03
2.6472789032610489E-01   1.1822977496453126E+00   7.9387974683604017E-03   5.1838467520538035E-03
2.6974880902884474E-01   1.1779737988882177E+00   8.0873685110968742E-03   5.3437648665330866E-03
2.7466323677771148E-01   1.1736759923517199E+00   8.2355123265425018E-03   5.5079059642145741E-03
2.7947344649080164E-01   1.1694042127074269E+00   8.3830834712894826E-03   5.6795842419967661E-03
2.8418166288547086E-01   1.1651584401157795E+00   8.5299641554168228E-03   5.8600823336988723E-03
2.8879006350726311E-01   1.1609387685557904E+00   8.6763136143709809E-03   6.0413343961199734E-03
2.9330077973702362E-01   1.1567454000333444E+00   8.8225142741314710E-03   6.2287887054883959E-03
2.9771589777666063E-01   1.1525779709463928E+00   8.9687295345637734E-03   6.4182551863209815E-03
3.0203745961401152E-01   1.1484360020730877E+00   9.1150051771805955E-03   6.6015603229340938E-03
3.0626746396726012E-01   1.1443190868774400E+00   9.2611848590942302E-03   6.7879432690903397E-03
3.1040786720934249E-01   1.1402265357408097E+00   9.4071900712592200E-03   6.9815069108708199E-03
3.1446058427276691E-01   1.1361572852167032E+00   9.5531199241030759E-03   7.1845910319232537E-03
3.1842748953526845E-01   1.1321100047193331E+00   9.6992160198617113E-03   7.3968845865237031E-03
3.2231041768670732E-01   1.1280831946337797E+00   9.8457928878681357E-03   7.6151606692693016E-03
3.2611116457761041E-01   1.1240751508746005E+00   9.9931400375926679E-03   7.8379298152280886E-03
3.2983148804975115E-01   1.1200839210806255E+00   1.0141463875368824E-02   8.0659005470471168E-03
3.3347310874914909E-01   1.1161072919182189E+00   1.0290872539862753E-02   8.3003264467799934E-03
3.3703771092186752E-01   1.1121428038249115E+00   1.0441354624404377E-02   8.5446988753615713E-03
3.4052694319297505E-01   1.1081877398773872E+00   1.0592841724316088E-02   8.8006413257326818E-03
3.4394241932903369E-01   1.1042391696608305E+00   1.0745254163426730E-02   9.0706089309313311E-03
3.4728571898446398E-01   1.1002940222354023E+00   1.0898645216193756E-02   9.3505308339154811E-03
3.5055838843213383E-01   1.0963491260894971E+00   1.1053339801185915E-02   9.6314719555226809E-03
3.5376194127850802E-01   1.0924014913460969E+00   1.1209617904252931E-02   9.8987546908581581E-03
3.5689785916368999E-01   1.0884474744502044E+00   1.1367515595730271E-02   1.0186031402100832E-02
3.5996759244667886E-01   1.0844836739371437E+00   1.1527111835548599E-02   1.0470458553165966E-02
3.6297256087615870E-01   1.0805070106289094E+00   1.1688316912831060E-02   1.0757215717575760E-02
3.6591415424713158E-01   1.0765142523573918E+00   1.1851020929519732E-02   1.1053134895096154E-02
3.6879373304369611E-01   1.0725020352428194E+00   1.2015190098033889E-02   1.1356628705982074E-02
3.7161262906826986E-01   1.0684669034804231E+00   1.2180861041904190E-02   1.1672840251274757E-02
3.7437214605754687E-01   1.0644052898326481E+00   1.2348157011910953E-02   1.1997825310802441E-02
3.7707356028547478E-01   1.0603135929416438E+00   1.2517246545853162E-02   1.2327342424514899E-02
3.7971812115352988E-01   1.0561881947607983E+00   1.2688230573748795E-02   1.2663083924612243E-02
3.8230705176856439E-01   1.0520254257126280E+00   1.2861219534550057E-02   1.3001153388804500E-02
3.8484154950849225E-01   1.0478216021445050E+00   1.3036229182679047E-02   1.3344495010336488E-02
3.8732278657607494E-01   1.0435730426203205E+00   1.3213176661787323E-02   1.3696058097144886E-02
3.8975191054106451E-01   1.0392760747304410E+00   1.3391953723416441E-02   1.4058115701650314E-02
3.9213004487095315E-01   1.0349270404948705E+00   1.3572393652692269E-02   1.4432021817267630E-02
3.9445828945057604E-01   1.0305223023728300E+00   1.3754282018585940E-02   1.4818773272465230E-02
3.9673772109080696E-01   1.0260582836704595E+00   1.3937546726101214E-02   1.5207935919648278E-02
3.9896939402658227E-01   1.0215314403595943E+00   1.4122259198137531E-02   1.5584820974460624E-02
4.0115434040448344E-01   1.0169383094024920E+00   1.4308528127852709E-02   1.5951307059109358E-02
4.0329357076010419E-01   1.0122751637821314E+00   1.4496064123756447E-02   1.6341819220371218E-02
4.0538807448542180E-01   1.0075382664880079E+00   1.4684787684484913E-02   1.6733358343009087E-02
4.0743882028639034E-01   1.0027240597332927E+00   1.4874556929260596E-02   1.7118112704027015E-02
4.0944675663096580E-01   9.9782912553631253E-01   1.5065137813005619E-02   1.7497685059735642E-02
4.1141281218777204E-01   9.9285011344664564E-01   1.5256226882494105E-02   1.7876686464355016E-02
4.1333789625560891E-01   9.8778373940162445E-01   1.5447516260630512E-02   1.8257834888203494E-02
4.1522289918400207E-01   9.8262678442744567E-01   1.5638708707621400E-02   1.8642056250104292E-02
4.1706869278498893E-01   9.7737608642764406E-01   1.5829522505736819E-02   1.9028345729471641E-02
4.1887613073633057E-01   9.7202853085469687E-01   1.6019680901364009E-02   1.9414586904141495E-02
4.2064604897633734E-01   9.6658104659997091E-01   1.6208895040464188E-02   1.9798434369021702E-02
4.2237926609048904E-01   9.6103062311267318E-01   1.6396855572068506E-02   2.0178202815859640E-02
4.2407658369003021E-01   9.5537431533001382E-01   1.6583211029829556E-02   2.0551296680644166E-02
4.2573878678271448E-01   9.4960925365362325E-01   1.6767556161328214E-02   2.0917297591754893E-02
4.2736664413587011E-01   9.4373264321003481E-01   1.6949449734865160E-02   2.1278393467201142E-02
4.2896090863195357E-01   9.3774177664793801E-01   1.7128400283206658E-02   2.1633687516088816E-02
4.3052231761675758E-01   9.3163402874604739E-01   1.7303872766975384E-02   2.1986573842163400E-02
4.3205159324043246E-01   9.2540689280436672E-01   1.7475318895124936E-02   2.2337926637550257E-02
4.3354944279148006E-01   9.1905797099451003E-01   1.7642161901718495E-02   2.2689436815118563E-02
4.3501655902387387E-01   9.1258500928356145E-01   1.7803844885385875E-02   2.3039450307321657E-02
4.3645362047745706E-01   9.0598589716059308E-01   1.7959817858786534E-02   2.3384619656821527E-02
4.3786129179176680E-01   8.9925869237553369E-01   1.8109580443844298E-02   2.3717143088179710E-02
4.3924022401342894E-01   8.9240162543686385E-01   1.8252690287209761E-02   2.4024958093894207E-02
4.4059105489726680E-01   8.8541308881054748E-01   1.8388766251685333E-02   2.4301452993993205E-02
4.4191440920126196E-01   8.7829138784685012E-01   1.8517193225401456E-02   2.4591965969849642E-02
4.4321089897550447E-01   8.7103537408891341E-01   1.8637439426171631E-02   2.4873924020880341E-02
4.4448112384526506E-01   8.6364377332767783E-01   1.8748994342020237E-02   2.5143458033000242E-02
4.4572567128832163E-01   8.5611543617913144E-01   1.8851324027932239E-02   2.5404394218727776E-02
4.4694511690666694E-01   8.4844947893323086E-01   1.8943895880884836E-02   2.5651492241898794E-02
4.4814002469272385E-01   8.4064525799080925E-01   1.9026189772082831E-02   2.5881978344723562E-02
4.4931094729019172E-01   8.3270237479784270E-01   1.9097686073846813E-02   2.6098614386588278E-02
4.5045842624964311E-01   8.2462069008159222E-01   1.9157876711027356E-02   2.6300981405941736E-02
4.5158299227899062E-01   8.1640030161264032E-01   1.9206271151336496E-02   2.6493317119413703E-02
4.5268516548893883E-01   8.0804153714976867E-01   1.9242400433099476E-02   2.6673353138421393E-02
4.5376545563353493E-01   7.9954494139666066E-01   1.9265815192575947E-02   2.6840695938546055E-02
4.5482436234592938E-01   7.9091127511042070E-01   1.9276086535750206E-02   2.6993753773117895E-02
4.5586237536945595E-01   7.8214153773556705E-01   1.9272813652701636E-02   2.7133928075425653E-02
4.5687997478413750E-01   7.7323696503504047E-01   1.9255617037219331E-02   2.7257000071948003E-02
4.5787763122872227E-01   7.6419903234576370E-01   1.9224140518195688E-02   2.7366150294508045E-02
4.5885580611835430E-01   7.5502948253200985E-01   1.9178059625579180E-02   2.7457645426742679E-02
4.5981495185797711E-01   7.4573031113633315E-01   1.9117069388058024E-02   2.7531679517846554E-02
4.6075551205157067E-01   7.3630379389147582E-01   1.9040902395483887E-02   2.7589452117862932E-02
4.6167792170731786E-01   7.2675247325109282E-01   1.8949313512647194E-02   2.7630701337456948E-02
4.6258260743879531E-01   7.1707917293200085E-01   1.8842097862427406E-02   2.7656380362222503E-02
4.6346998766228181E-01   7.0728698854822192E-01   1.8719084275340123E-02   2.7668996789444539E-02
4.6434047279027524E-01   6.9737928501774826E-01   1.8580140979109427E-02   2.7668240108780572E-02
4.6519446542130827E-01   6.8735968909366041E-01   1.8425182745460893E-02   2.7655905225538444E-02
4.6603236052614949E-01   6.7723207703076038E-01   1.8254171040016136E-02   2.7633147344216596E-02
4.6685454563047729E-01   6.6700056220804649E-01   1.8067119025590387E-02   2.7600876934202077E-02
4.6766140099410974E-01   6.5666948031009076E-01   1.7864096137668622E-02   2.7559618484406832E-02
4.6845329978687483E-01   6.4624337234666718E-01   1.7645232580835949E-02   2.7509112413988887E-02
4.6923060826120089E-01   6.3572696581829180E-01   1.7410723715107424E-02   2.7448608009995979E-02
4.6999368592150792E-01   6.2512515438901040E-01   1.7160834300973839E-02   2.7376264248901570E-02
4.7074288569047829E-01   6.1444297639717116E-01   1.6895902567154494E-02   2.7289241134151005E-02
4.7147855407228301E-01   6.0368559255538135E-01   1.6616344066925668E-02   2.7183508810123012E-02
4.7220103131283941E-01   5.9285828877869329E-01   1.6322640820412168E-02   2.7079086286275318E-02
4.7291065155717488E-01   5.8196643427662309E-01   1.6015173309060070E-02   2.6981865208605880E-02
4.7360774300396835E-01   5.7101541910333287E-01   1.5694433645864047E-02   2.6884110938249845E-02
4.7429262805734207E-01   5.6001085387520888E-01   1.5361039631075254E-02   2.6786699061759053E-02
4.7496562347597293E-01   5.4895840986407052E-01   1.5015659237638482E-02   2.6702312628992295E-02
4.7562704051959337E-01   5.3786375849076362E-01   1.4658991061113475E-02   2.6620568033228362E-02
4.7627718509294847E-01   5.2673253933908959E-01   1.4291778191171665E-02   2.6546578854243479E-02
4.7691635788727677E-01   5.1557035340992596E-01   1.3914803284323957E-02   2.6482130262164467E-02
4.7754485451937939E-01   5.0438274235558700E-01   1.3528878193554736E-02   2.6427261692044006E-02
4.7816296566834293E-01   4.9317517093583874E-01   1.3134849707071834E-02   2.6386568448602502E-02
4.7877097720997791E-01   4.8195301592207745E-01   1.2733598794836633E-02   2.6359848866748265E-02
4.7936917034903631E-01   4.7072155322679582E-01   1.2326037446386903E-02   2.6348629663581803E-02
4.7995782174926821E-01   4.5948593906947560E-01   1.1913103773186929E-02   2.6353862961778555E-02
4.8053720366137886E-01   4.4825119856789897E-01   1.1495763058967922E-02   2.6378121440471445E-02
4.8110758404894410E-01   4.3702220532121278E-01   1.1074993927884216E-02   2.6420827243592165E-02
4.8166922671234336E-01   4.2580365900158401E-01   1.0651785264881999E-02   2.6484395235384248E-02
4.8222239141076706E-01   4.1460008640822354E-01   1.0227133209379730E-02   2.6567956882815644E-02
4.8276733398235500E-01   4.0341579347868073E-01   9.8020258368321754E-03   2.6671672089394437E-02
4.8330430646252120E-01   3.9225489618473885E-01   9.3774495912180775E-03   2.6795626778459074E-02
4.8383355720052024E-01   3.8112126009481273E-01   8.9543720077980820E-03   2.6939073096568591E-02
4.8435533097430816E-01   3.7001852770732868E-01   8.5337452162084580E-03   2.7101220083456203E-02
4.8486986910375235E-01   3.5895008384934901E-01   8.1164966972030635E-03   2.7280972503182281E-02
4.8537740956224179E-01   3.4791905500329018E-01   7.7035262539017109E-03   2.7476985694006847E-02
4.8587818708674924E-01   3.3692830234659732E-01   7.2957022566631346E-03   2.7687723293638476E-02
4.8637243328639707E-01   3.2598041651078463E-01   6.8938583725743144E-03   2.7911469454448029E-02
4.8686037674957616E-01   3.1507771383629074E-01   6.4987907609477414E-03   2.8146363695544786E-02
4.8734224314966790E-01   3.0422223406883270E-01   6.1112557021773964E-03   2.8390436279827395E-02
4.8781825534941781E-01   2.9341573950838779E-01   5.7319676178878010E-03   2.8641636001719775E-02
4.8828863350400947E-01   2.8265971516576416E-01   5.3615974367497970E-03   2.8897874005584585E-02
4.8875359516288591E-01   2.7195537011560661E-01   5.0007712548065780E-03   2.9157062059606657E-02
4.8921335537036620E-01   2.6130363985749655E-01   4.6500692400949038E-03   2.9417137770329605E-02
4.8966812676510307E-01   2.5070518921888701E-01   4.3100247316066572E-03   2.9676117319912803E-02
4.9011811967842822E-01   2.4016041623471177E-01   3.9811234804165195E-03   2.9932114160372156E-02
4.9056354223163029E-01   2.2966945593869981E-01   3.6638029879621095E-03   3.0183343789652570E-02
4.9100460043221084E-01   2.1923218505908035E-01   3.3584518879606748E-03   3.0428286547627390E-02
4.9144149826916239E-01   2.0884822654975102E-01   3.0654093300761416E-03   3.0665574664020947E-02
4.9187443780731338E-01   1.9851695428161609E-01   2.7849643165938666E-03   3.0894107914083296E-02
4.9230361928078292E-01   1.8823749761711348E-01   2.5173549476164088E-03   3.1113075392536424E-02
4.9272924118558875E-01   1.7800874758957735E-01   2.2627697302962202E-03   3.1325261733410797E-02
4.9315150037145161E-01   1.6782937594914643E-01   2.0213943580273471E-03   3.1533212771356615E-02
4.9357059213283788E-01   1.5769772612467192E-01   1.7933617753812135E-03   3.1732894791585899E-02
